method,normalization,theta,rho,lambda,alpha,beta,top_alternative,top_stable,full_ranking_stable,spearman,kendall_tau,ranking,score_A1,rank_A1,score_A2,rank_A2,score_A3,rank_A3,score_A4,rank_A4,score_A5,rank_A5
generalized_inverse,max,1.0,3.0,5.0,0.88,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.14317909234677825,4,0.7789421158928308,2,0.4906979254702305,3,0.0,5
generalized_inverse,max,1.0,3.0,5.0,1.0,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12128509185206662,4,0.7964967902157205,2,0.4449775098965077,3,0.0,5
generalized_inverse,max,1.0,3.0,5.0,1.0,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12128509185206662,4,0.7964967902157205,2,0.4449775098965077,3,0.0,5
generalized_inverse,max,1.0,3.0,5.0,1.0,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.12128509185206662,4,0.7964967902157205,2,0.4449775098965077,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.0,0.5,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.40648001586386073,4,0.7802145729390976,2,0.6709501981069461,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.0,0.5,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.40648001586386073,4,0.7802145729390976,2,0.6709501981069461,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.0,0.5,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.40648001586386073,4,0.7802145729390976,2,0.6709501981069461,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.0,0.88,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4340868238740244,4,0.9263116595250198,2,0.6876135245745468,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.0,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4340868238740244,4,0.9263116595250198,2,0.6876135245745468,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.0,0.88,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4340868238740244,4,0.9263116595250198,2,0.6876135245745468,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.0,1.0,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4452130660650632,4,0.9506844942402131,2,0.6838691864916416,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.0,1.0,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4452130660650632,4,0.9506844942402131,2,0.6838691864916416,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.0,1.0,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4452130660650632,4,0.9506844942402131,2,0.6838691864916416,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.5,0.5,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.40825227440506767,4,0.7887424677224,2,0.6788110791215736,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.5,0.5,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.40825227440506767,4,0.7887424677224,2,0.6788110791215736,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.5,0.5,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.40825227440506767,4,0.7887424677224,2,0.6788110791215736,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.5,0.88,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4346776856648344,4,0.9276874862788642,2,0.6893441696777409,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.5,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4346776856648344,4,0.9276874862788642,2,0.6893441696777409,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.5,0.88,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4346776856648344,4,0.9276874862788642,2,0.6893441696777409,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.5,1.0,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4455911865867684,4,0.9514082664123006,2,0.6848665555173188,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.5,1.0,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4455911865867684,4,0.9514082664123006,2,0.6848665555173188,3,0.0,5
generalized_inverse,max_min,1.0,3.0,1.5,1.0,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4455911865867684,4,0.9514082664123006,2,0.6848665555173188,3,0.0,5
generalized_inverse,max_min,1.0,3.0,2.25,0.5,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4094639542502415,4,0.794572925294157,2,0.6841855043926447,3,0.0,5
